order,season,episode,character_killed,killer,method,method_cat,location,importance
2744,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2745,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2746,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2747,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2748,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2749,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2750,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2751,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2752,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2753,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2754,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2755,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2756,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2757,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2758,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2759,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2760,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2761,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2762,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2763,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2764,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2765,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2766,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2767,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2768,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2769,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2770,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2771,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2772,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2773,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2774,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2775,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2776,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2777,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2778,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2779,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2780,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2781,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2782,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2783,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2784,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2785,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2786,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2787,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2788,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2789,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2790,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2791,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2792,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2793,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2794,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2795,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2796,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2797,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2798,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2799,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2800,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2801,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2802,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2803,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2804,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2805,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2806,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2807,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2808,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2809,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2810,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2811,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2812,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2813,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2814,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2815,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2816,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2817,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2818,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2819,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2820,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2821,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2822,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2823,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2824,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2825,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2826,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2827,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2828,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2829,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2830,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2831,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2832,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2833,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2834,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2835,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2836,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2837,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2838,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2839,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2840,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2841,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2842,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2843,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2844,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2845,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2846,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2847,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2848,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2849,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2850,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2851,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2852,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2853,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2854,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2855,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2856,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2857,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2858,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2859,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2860,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2861,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2862,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2863,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2864,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2865,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2866,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2867,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2868,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2869,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2870,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2871,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2872,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2873,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2874,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2875,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2876,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2877,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2878,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2879,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2880,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2881,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2882,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2883,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2884,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2885,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2886,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2887,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2888,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2889,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2890,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2891,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2892,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2893,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2894,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2895,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2896,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2897,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2898,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2899,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2900,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2901,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2902,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2903,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2904,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2905,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2906,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2907,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2908,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2909,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2910,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2911,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2912,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2913,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2914,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2915,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2916,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2917,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2918,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2919,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2920,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2921,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2922,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2923,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2924,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2925,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2926,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2927,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2928,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2929,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2930,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2931,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2932,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2933,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2934,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2935,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2936,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2937,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2938,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2939,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2940,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2941,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2942,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2943,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2944,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2945,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2946,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2947,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2948,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2949,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2950,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2951,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2952,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2953,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2954,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2955,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2956,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2957,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2958,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2959,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2960,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2961,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2962,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2963,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2964,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2965,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2966,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2967,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2968,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2969,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2970,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2971,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2972,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2973,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2974,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2975,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2976,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2977,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2978,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2979,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2980,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2981,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2982,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2983,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2984,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2985,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2986,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2987,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2988,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2989,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2990,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2991,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2992,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2993,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2994,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2995,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2996,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2997,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
2998,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
2999,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3000,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3001,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3002,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3003,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3004,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3005,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3006,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3007,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3008,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3009,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3010,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3011,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3012,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3013,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3014,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3015,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3016,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3017,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3018,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3019,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3020,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3021,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3022,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3023,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3024,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3025,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3026,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3027,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3028,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3029,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3030,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3031,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3032,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3033,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3034,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3035,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3036,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3037,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3038,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3039,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3040,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3041,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3042,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3043,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3044,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3045,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3046,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3047,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3048,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3049,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3050,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3051,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3052,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3053,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3054,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3055,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3056,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3057,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3058,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3059,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3060,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3061,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3062,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3063,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3064,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3065,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3066,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3067,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3068,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3069,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3070,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3071,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3072,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3073,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3074,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3075,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3076,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3077,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3078,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3079,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3080,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3081,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3082,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3083,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3084,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3085,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3086,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3087,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3088,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3089,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3090,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3091,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3092,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3093,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3094,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3095,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3096,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3097,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3098,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3099,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3100,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3101,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3102,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3103,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3104,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3105,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3106,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3107,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3108,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3109,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3110,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3111,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3112,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3113,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3114,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3115,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3116,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3117,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3118,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
3119,8,3,Dothraki rider,Wight,Unknown,Unknown,Winterfell,1.0
3120,8,3,Horse,Wight,Unknown,Unknown,Winterfell,1.0
